,VendorID,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
VendorID,1.0,-0.002621696280331967,0.008124122369231901,0.0033204743419945663,0.09111447995374561,0.012493933678641688,0.020545677456886784,-0.009660463888238243,-0.011962678448434322,0.0011360531143074113,0.0005687874508503771,,-0.012313839437811381,0.02007057917945749,-0.04957552425780675,0.000757826557272541
RatecodeID,-0.002621696280331967,1.0,0.05289141047725338,0.02229235511992845,-0.0041506858729098645,0.059109332826548296,0.13421219849079596,-0.1134484406289513,-0.7532326068691158,0.006800697910142691,0.01658652082302797,,-0.7367928976388363,0.10724346057202802,0.026407200441392043,0.9391682254796065
PULocationID,0.008124122369231901,0.05289141047725338,1.0,0.14490305934133646,0.019751064623063384,0.0537685393628979,0.04564755597465561,0.023818285018818764,-0.04851188470435743,0.03226519315671972,0.004971872537967462,,-0.0477531775419168,0.046920994739016286,-0.018252224855798607,0.05352924101926888
DOLocationID,0.0033204743419945663,0.02229235511992845,0.14490305934133646,1.0,0.006059186371651733,0.09383570614053015,0.08541943161290089,-0.015466649771047116,-0.011745906889710117,0.06309362858466581,0.006016206259796734,,-0.013620705096959026,0.08555493575522981,-0.04861250947387194,0.018345068535568682
passenger_count,0.09111447995374561,-0.0041506858729098645,0.019751064623063384,0.006059186371651733,1.0,0.008355075010858047,0.00962524988991119,0.007399947508336279,0.0023792999155366847,0.005515495357190452,0.0014813196120883436,,0.002372389851848277,0.01012952193137493,-0.003550981896980738,-0.004388474160671289
trip_distance,0.012493933678641688,0.059109332826548296,0.0537685393628979,0.09383570614053015,0.008355075010858047,1.0,0.8313948587763585,-0.02571239027685374,-0.0072542407293043985,0.38568854470824515,0.09965428726177047,,0.003743691203925377,0.8115006308246907,-0.12824520857689417,0.02355482030322121
fare_amount,0.020545677456886784,0.13421219849079596,0.04564755597465561,0.08541943161290089,0.00962524988991119,0.8313948587763585,1.0,-0.02689015090102762,-0.04345639660517277,0.36423019281927266,0.11059294681762714,,-0.025851122403096276,0.9543225152304358,-0.13434308334111522,0.09350050801415934
extra,-0.009660463888238243,-0.1134484406289513,0.023818285018818764,-0.015466649771047116,0.007399947508336279,-0.02571239027685374,-0.02689015090102762,1.0,0.14941142215924222,0.015277976089920996,-0.0041081033034285645,,0.1487473881834537,0.012622628191730555,-0.024053898708751804,-0.11923375817855379
mta_tax,-0.011962678448434322,-0.7532326068691158,-0.04851188470435743,-0.011745906889710117,0.0023792999155366847,-0.0072542407293043985,-0.04345639660517277,0.14941142215924222,1.0,0.01850716736516393,-0.010580400987422111,,0.978040010002793,-0.019058963319609976,-0.11245923062356686,-0.7999535128273401
tip_amount,0.0011360531143074113,0.006800697910142691,0.03226519315671972,0.06309362858466581,0.005515495357190452,0.38568854470824515,0.36423019281927266,0.015277976089920996,0.01850716736516393,1.0,0.05923842679341325,,0.02729315322138153,0.5186765838618185,-0.5104137972268239,-0.013968026657644394
tolls_amount,0.0005687874508503771,0.01658652082302797,0.004971872537967462,0.006016206259796734,0.0014813196120883436,0.09965428726177047,0.11059294681762714,-0.0041081033034285645,-0.010580400987422111,0.05923842679341325,1.0,,-0.002126835670595912,0.3373061506911177,-0.014772017937324659,0.003898048416091346
ehail_fee,,,,,,,,,,,,,,,,
improvement_surcharge,-0.012313839437811381,-0.7367928976388363,-0.0477531775419168,-0.013620705096959026,0.002372389851848277,0.003743691203925377,-0.025851122403096276,0.1487473881834537,0.978040010002793,0.02729315322138153,-0.002126835670595912,,1.0,-0.0004129788807325511,-0.11458359814470695,-0.8030154774111176
total_amount,0.02007057917945749,0.10724346057202802,0.046920994739016286,0.08555493575522981,0.01012952193137493,0.8115006308246907,0.9543225152304358,0.012622628191730555,-0.019058963319609976,0.5186765838618185,0.3373061506911177,,-0.0004129788807325511,1.0,-0.22186535602227056,0.06462964921060312
payment_type,-0.04957552425780675,0.026407200441392043,-0.018252224855798607,-0.04861250947387194,-0.003550981896980738,-0.12824520857689417,-0.13434308334111522,-0.024053898708751804,-0.11245923062356686,-0.5104137972268239,-0.014772017937324659,,-0.11458359814470695,-0.22186535602227056,1.0,0.03096218915262561
trip_type,0.000757826557272541,0.9391682254796065,0.05352924101926888,0.018345068535568682,-0.004388474160671289,0.02355482030322121,0.09350050801415934,-0.11923375817855379,-0.7999535128273401,-0.013968026657644394,0.003898048416091346,,-0.8030154774111176,0.06462964921060312,0.03096218915262561,1.0
